Season,Team,Points
2022-23,Benfica,87
2022-23,Porto,85
2022-23,Sp Braga,78
2022-23,Sp Lisbon,74
2021-22,Benfica,74
2021-22,Porto,91
2021-22,Sp Braga,65
2021-22,Sp Lisbon,85
2020-21,Benfica,76
2020-21,Porto,80
2020-21,Sp Braga,64
2020-21,Sp Lisbon,85
2019-20,Benfica,77
2019-20,Porto,82
2019-20,Sp Braga,60
2019-20,Sp Lisbon,60
2018-19,Benfica,87
2018-19,Porto,85
2018-19,Sp Braga,67
2018-19,Sp Lisbon,74
2017-18,Benfica,81
2017-18,Porto,88
2017-18,Sp Braga,75
2017-18,Sp Lisbon,78
